Yelp ID,Business name,Business address,Category,Average star rating,Review count,Price,review_text,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
t_0nFc2QD_vlw-MYpKQG9A,WarPigs,Flæsketorvet 25 1711 Copenhagen Denmark,"Bars, Barbeque, Beer, Wine & Spirits",3.9,237,$$,"The place was very crowded but we had a reservation for our big party.  They have an excellent selection of beers and the food was good.

The BBQ was good -...",0.0,0.624,0.376,0.9538,positive
t_0nFc2QD_vlw-MYpKQG9A,WarPigs,Flæsketorvet 25 1711 Copenhagen Denmark,"Bars, Barbeque, Beer, Wine & Spirits",3.9,237,$$,"Stopped into WarPigs while visiting Copenhagen because I couldn't resist checking out the BBQ scene abroad. I ordered the brisket sandwich, brisket & beans,...",0.076,0.924,0.0,-0.2263,negative
t_0nFc2QD_vlw-MYpKQG9A,WarPigs,Flæsketorvet 25 1711 Copenhagen Denmark,"Bars, Barbeque, Beer, Wine & Spirits",3.9,237,$$,"This place was packed on a Friday night! I stopped by for a late dinner at 9pm, so unfortunately a lot of the items on the food menu were already sold out....",0.15,0.85,0.0,-0.6495,negative
t_0nFc2QD_vlw-MYpKQG9A,WarPigs,Flæsketorvet 25 1711 Copenhagen Denmark,"Bars, Barbeque, Beer, Wine & Spirits",3.9,237,$$,"if in Copenhagen, and you like beer and BBQ, then get to this place. Nicely located a brief walk from the city center to the Meat Packing district which has...",0.0,0.838,0.162,0.6597,positive
t_0nFc2QD_vlw-MYpKQG9A,WarPigs,Flæsketorvet 25 1711 Copenhagen Denmark,"Bars, Barbeque, Beer, Wine & Spirits",3.9,237,$$,"Echoing many other reviews, WarPigs was incredibly busy. I was actually surprised to see a Texas-style BBQ and craft beer eerily reminiscent of American...",0.0,0.924,0.076,0.2263,positive
t_0nFc2QD_vlw-MYpKQG9A,WarPigs,Flæsketorvet 25 1711 Copenhagen Denmark,"Bars, Barbeque, Beer, Wine & Spirits",3.9,237,$$,Yeah 5 stars for the sunny day. Five stars for the cold IPA  and Five Stars for the Vegan portobello mushroom sandwich! Long walk from our hotel but what a...,0.0,0.881,0.119,0.4199,positive
t_0nFc2QD_vlw-MYpKQG9A,WarPigs,Flæsketorvet 25 1711 Copenhagen Denmark,"Bars, Barbeque, Beer, Wine & Spirits",3.9,237,$$,Still seems to be a very popular spot in the meat packing district of CPH. It's a vibe coming here for a beer and just chilling with friends. Every time I'm...,0.031,0.793,0.175,0.7264,positive
RWu431JRkV57wcHhB8aDcg,Paté Paté,Slagterboderne 1 1716 Copenhagen Denmark,"Brasseries, Wine Bars",4.0,104,$$,"This place was wonderful! Review is for drinks at the bar only.

Really cool location in the meat packing district. Cool, friendly bartenders. BF had some...",0.0,0.645,0.355,0.9019,positive
RWu431JRkV57wcHhB8aDcg,Paté Paté,Slagterboderne 1 1716 Copenhagen Denmark,"Brasseries, Wine Bars",4.0,104,$$,Excellent small plate meals and friendly fast service! Everything from pate to risotto to shrimp to lamb to carrots to trifle were outstanding. Loved my...,0.0,0.582,0.418,0.9441,positive
RWu431JRkV57wcHhB8aDcg,Paté Paté,Slagterboderne 1 1716 Copenhagen Denmark,"Brasseries, Wine Bars",4.0,104,$$,"Really good food, small plates so you can try a few. Go early because it gets crowded. It's kind of hipster - lots of tables outside and inside. It's in the...",0.0,0.904,0.096,0.4927,positive
